seed,robot count,spring constant,damping coefficient,iteration,moved distance,connectivity,converged,sensing_interval
15,25,0.25,1,150,522.1593044,TRUE,TRUE,4.3
16,25,0.25,1,119,546.0215981,TRUE,TRUE,4.3
17,25,0.25,1,158,547.8314175,TRUE,TRUE,4.3
18,25,0.25,1,165,561.2943959,TRUE,TRUE,4.3
19,25,0.25,1,110,484.112696,TRUE,TRUE,4.3
0,25,0.25,1,124,521.9958194,TRUE,TRUE,4.5
1,25,0.25,1,164,542.1800144,TRUE,TRUE,4.5
2,25,0.25,1,95,481.2355023,TRUE,TRUE,4.5
3,25,0.25,1,140,555.3762043,TRUE,TRUE,4.5
4,25,0.25,1,114,530.9208895,TRUE,TRUE,4.5
5,25,0.25,1,105,480.1812085,TRUE,TRUE,4.5
6,25,0.25,1,140,533.585278,TRUE,TRUE,4.5
7,25,0.25,1,155,548.4692536,TRUE,TRUE,4.5
8,25,0.25,1,175,515.5414571,TRUE,TRUE,4.5
9,25,0.25,1,120,541.0364113,TRUE,TRUE,4.5
10,25,0.25,1,130,531.0682952,TRUE,TRUE,4.5
11,25,0.25,1,130,519.2842281,TRUE,TRUE,4.5
12,25,0.25,1,125,537.9162606,TRUE,TRUE,4.5
13,25,0.25,1,120,538.7227261,TRUE,TRUE,4.5
14,25,0.25,1,130,548.1606962,TRUE,TRUE,4.5
15,25,0.25,1,165,538.5967843,TRUE,TRUE,4.5
16,25,0.25,1,134,551.1502978,TRUE,TRUE,4.5
17,25,0.25,1,194,579.234396,TRUE,TRUE,4.5
18,25,0.25,1,145,561.3270621,TRUE,TRUE,4.5
19,25,0.25,1,119,481.8848126,TRUE,TRUE,4.5
0,25,0.25,1,115,516.1477706,TRUE,TRUE,4.7
1,25,0.25,1,144,548.723622,TRUE,TRUE,4.7
2,25,0.25,1,95,493.8279141,TRUE,TRUE,4.7
3,25,0.25,1,110,513.8364671,TRUE,TRUE,4.7
4,25,0.25,1,120,541.6491237,TRUE,TRUE,4.7
